time,forecast
1341,16.8018862
1342,-3.2214319
1343,-4.262986458
1344,-7.617228416
1345,9.102332846
1346,9.758495434
1347,-17.03897382
1348,1.932193832
1349,2.082783652
1350,-6.508678592
1351,6.457548687
1352,-8.081603801
1353,-6.607283836
1354,-3.389807154
1355,-20.52617254
1356,16.96171943
1357,7.568885838
1358,0.676359592
1359,3.064865904
1360,1.061305899
1361,7.972187007
1362,-3.142152953
1363,8.862937073
1364,-7.923126216
1365,12.71020108
1366,-5.662578652
1367,-3.15070745
1368,-5.06834346
1369,2.476127748
1370,0.476148607
1371,10.85107622
1372,-0.719405985
1373,2.307868852
1374,-3.12914424
1375,-8.728577334
1376,-1.971820265
1377,0.87805779
1378,2.969735768
1379,5.642312635
1380,2.288083098
1381,6.580272112
1382,-0.39564672
1383,2.334297121
1384,-3.632434108
1385,3.214614357
1386,-5.919983626
1387,4.311092977
1388,3.990736619
1389,-1.632982734
1390,2.726881052
1391,-6.864435421
1392,-0.25077587
1393,1.811604679
1394,-5.809096416
1395,-4.50535969
1396,13.55154913
1397,-9.145764185
1398,-7.842267046
1399,12.56260765
1400,12.58378471
1401,3.826830954
1402,-11.14608461
1403,2.331469108
1404,11.61899905
1405,-4.034226032
1406,-10.58252178
1407,7.286458586
1408,-6.097068238
1409,7.400949394
1410,4.534457116
1411,6.149580166
1412,-8.60269906
1413,5.360638618
1414,5.261123801
1415,1.059835269
1416,9.281396522
1417,20.69530354
1418,-14.745546
1419,5.062681218
1420,-1.149191848
1421,-4.129263204
1422,-2.797330146
1423,5.456221552
1424,-12.83070505
1425,16.8696347
1426,4.128354972
1427,-4.12019594
1428,-11.95310218
1429,5.23331219
1430,0.276720518
1431,-3.463673798
1432,-0.263622216
1433,0.7078621
1434,-7.972726812
1435,12.04355248
1436,3.960638543
1437,-16.25232292
1438,-0.410445867
1439,9.097806506
1440,-4.743899598
1441,0.60490454
1442,-5.065055612
1443,-1.256615741
1444,-0.660115138
1445,-5.417669531
1446,4.67386996
1447,1.39857281
1448,5.598112241
1449,0.02058929
1450,-10.51480484
1451,-7.595166435
1452,-11.43657986
1453,-6.215723934
1454,-27.18869054
1455,-26.26029312
1456,1.731299332
1457,1.697262489
1458,3.027818072
1459,-0.732748961
1460,6.958067984
1461,-6.576184188
1462,5.1533053
1463,-5.515672452
1464,4.627779962
1465,5.853046389
1466,-1.459406339
1467,-5.526483705
1468,5.790285999
1469,-0.362001411
1470,3.927389681
1471,-0.985672186
1472,-1.816509373
1473,-4.418352861
1474,2.159953097
1475,2.054476852
1476,2.212888195
1477,-4.023645158
1478,-2.463172198
1479,-5.042952249
1480,-2.499092943
1481,1.244875735
1482,-2.997316452
1483,-1.459177283
1484,-5.467069379
1485,0.83862208
1486,0.79559187
1487,3.389239051
1488,1.886290208
1489,-1.275067887
1490,6.206968202
1491,-5.472669885
1492,-7.753358514
1493,-11.96677849
1494,1.773366374
1495,7.766770283
1496,9.511355406
1497,1.52197896
1498,-3.598770592
1499,23.76289977
1500,-7.626331048
1501,0.258668255
1502,0.573267373
1503,5.683724138
1504,0.896829847
1505,4.842289382
1506,-0.404435237
1507,0.798695494
1508,-14.53584302
1509,2.206476371
1510,0.262601324
1511,-3.874399724
1512,4.198188552
1513,-1.48210074
1514,1.155160336
1515,-2.88769578
1516,9.806160832
1517,-1.287395998
1518,7.337544854
1519,-6.299854104
1520,1.39231367
1521,6.959879658
1522,-2.226533971
1523,-0.746856091
1524,3.21606668
1525,7.337448872
1526,12.12734253
1527,-5.490141641
1528,-2.434996418
1529,2.215910857
1530,-10.6819072
1531,0.105289158
1532,-6.289304252
1533,2.148155813
1534,10.17034481
1535,-4.803336628
1536,-6.177769219
1537,-17.70624431
1538,6.310519051
1539,1.227569509
1540,-0.672418424
1541,6.209017053
1542,-8.630269371
1543,-2.833809574
1544,-3.729466063
1545,1.882229785
1546,1.203597413
1547,-15.08754405
1548,-1.812451823
1549,1.811283093
1550,-1.867183555
1551,-8.980137518
1552,-8.425717339
1553,-3.19672311
1554,-0.078708624
1555,-5.668733516
1556,2.553036026
1557,-5.421218595
1558,-0.986467098
1559,-7.245712934
1560,-6.593355646
1561,0.097909918
1562,-10.91396371
1563,-5.928995187
1564,-1.833239634
1565,4.98123123
1566,-4.682256848
1567,-0.581446196
1568,-0.646834841
1569,4.648767845
1570,5.842712969
1571,1.70977485
1572,-1.768771913
1573,1.143749339
1574,-2.482576601
1575,-9.859045733
1576,1.993185208
1577,-3.480782298
1578,-10.98716952
1579,-8.093492526
1580,-4.570336719
1581,1.390883667
1582,-6.199193838
1583,-1.261023286
1584,-1.130288509
1585,-16.28840206
1586,-2.435722019
1587,-3.546213988
1588,-10.17655564
1589,-3.400059016
1590,2.105185012
1591,-1.79998015
1592,-0.408210808
1593,3.843738998
1594,-0.479184739
1595,1.911279809
1596,-5.111263905
1597,-9.960128915
1598,1.253989476
1599,1.103062917
1600,0.770895698
1601,0.595791532
1602,13.53351936
1603,-4.896792831
1604,5.26750337
1605,0.43287566
1606,1.95084824
1607,-4.895341338
1608,8.375062198
1609,13.10441567
1610,-8.625346796
1611,-4.361450736
1612,-3.298697566
1613,5.010114986
1614,-3.589545314
1615,3.397817232
1616,-12.15417425
1617,6.77758582
1618,8.384415109
1619,4.602786357
1620,0.737764773
1621,-3.871713469
1622,-8.895878958
1623,-4.750355225
1624,13.76939038
1625,-0.280209783
1626,-3.178000215
1627,-2.38123103
1628,-8.230203346
1629,3.319669244
1630,-0.175766341
1631,12.683409
1632,-0.065905258
1633,7.643893089
1634,-9.119807731
1635,2.637422031
1636,11.11546712
1637,2.426593447
1638,-1.0958654
1639,-1.501209567
1640,-2.014182607
1641,0.934365219
1642,20.60198841
1643,0.051367982
1644,2.410737666
1645,-8.939645003
1646,3.906221305
1647,-4.227826617
1648,-2.212894952
1649,-5.513263572
1650,6.999499473
1651,-3.5194886
1652,-8.144852001
1653,16.35512408
1654,6.014000099
1655,2.780308139
1656,12.95715279
1657,-8.811759562
1658,3.006816898
1659,14.47872689
1660,-1.070663026
1661,-1.373136535
1662,5.829097951
1663,-0.397983091
1664,1.581817658
1665,2.658576346
1666,-9.238488516
1667,12.79572847
1668,-1.89638946
1669,4.16894609
1670,3.403827453
1671,13.10409233
1672,-2.019985847
1673,-7.417037241
1674,-10.91114746
1675,2.810811478
1676,4.013294513
1677,-9.032143502
1678,5.757497091
1679,3.916064618
1680,5.103719289
1681,-8.644523796
1682,-4.833126714
1683,-8.43296405
1684,-2.515039338
1685,-1.588141649
1686,6.613533879
1687,-1.750818718
1688,0.677157019
1689,10.7014131
1690,8.07550393
1691,9.800668266
1692,-8.587716085
1693,-9.466273462
1694,12.61333886
1695,0.728580024
1696,4.529518896
1697,-0.715061772
1698,0.412383072
1699,-6.577687444
1700,-6.638761908
1701,-1.513803158
1702,4.474031395
1703,-6.822760455
1704,1.920687099
1705,-19.35566167
1706,11.73772632
1707,10.4143768
